,date,amount,currency,vendor,checked,assigned_picture
0,2018-09-07,17.8,USD,"Yogurtland, 12502 North Kendall Drive, Miami, FL 33186",True,1038-receipt.jpg
1,2019-07-21,33.75,USD,"Casa Rubia Cafe, 25-17 Astoria Blvd, Astoria, NY 11102",False,
2,2019-02-09,34.21,USD,"12345 S 13th St
White Center",False,
3,2019-02-23,48.53,USD,"15700 Bellflower Blvd, Bellflower, CA 90706",True,1014-receipt.jpg
4,2018-03-08,46.4,USD,CHLOE81,False,
5,2019-03-24,69.79,USD,NAANCHING,False,
6,2017-12-29,64.52,USD,Mexican Restaurant & Bar,False,
7,2014-11-02,19.19,USD,"Store #0134 2900 Playa Vista Blvd. Playa Beach, CA 90049",False,
8,2019-04-10,13.53,USD,Collector's Choice Restaurant,False,
9,2018-10-06,33.75,USD,"1805 Parker Rd Suite G110, 18C5 Parker Rd (678) 690-2005",False,
10,2018-01-27,184.47,USD,"Columbus Restaurant, 736 Ocean Drive, Miami Beach, FL 33139",True,1113-receipt.jpg
11,2017-06-10,7.55,USD,LANDFALL RESTAURANT,True,1061-receipt.jpg
12,2017-09-10,71.58,USD,"Heart of Portugal Restaurant, 241 Mineola Blvd, Mineola, NY 11501",True,1124-receipt.jpg
13,2023-06-06,57.4,USD,"888 8th Ave, New York, NY 10019",False,
14,2019-04-19,28.04,USD,"SUKHOTHAI SUSHI + ASIAN FUSION, 11735 SW 147 AVE UNIT 36 MIAMI, FL 33196",True,1040-receipt.jpg
15,2017-06-28,13.25,USD,EL POLLO LOCO,False,
16,2017/09/19,10.81,USD,"Mesones De Cotorra, Calle 204, Av. Ernesto Tumbe",False,
17,2016-12-03,26.96,USD,"1130 North Higley Rd Suite#7-102, Mesa, AZ 85205",True,1189-receipt.jpg
18,2018-07-13,69.76,USD,"HAWWI ETHIOPIAN RESTAURANT, 1125 QUEEN ST ALEXANDRIA, VA 22314",True,1021-receipt.jpg
19,2017-08-25,154.78,USD,STK Miami Beach,False,
20,2018-10-03,26.15,CAD,"McDonald's, 16725 Stony Plain Rd, Edmonton AB T5P 4A9",True,1101-receipt.jpg
21,2018-07-26,43.3,USD,"Kaiseki, 7 West Merrick Rd. Valley Stream, NY 11580",False,
22,2017-06-14,27.62,USD,"BreadFish Cafe, 15848 Halliburton Rd, Hacienda Heights, CA 91745",True,1109-receipt.jpg
23,2018-10-29,37.37,USD,"383 Gellert Blvd., Daily City, CA 94015",True,1022-receipt.jpg
24,2013-08-12,13.26,USD,"12709 Beechnut St STE100, Houston, TX 77072",True,1148-receipt.jpg
25,2015-08-02,17.0,EUR,"la Source, Rue de la Paix 12, 1003 Lausanne",True,1114-receipt.jpg
26,2018-09-15,26.37,USD,Chili's Grill & Bar,False,
27,2013-06-01,21.69,USD,"4469 SLAUSON AVE
Maywood, CA 90270",True,1072-receipt.jpg
28,2019-05-18,15.03,USD,GOLDEN BOWL TERIYAKI,False,
29,2015-04-25,69.25,USD,"GRAND LUX CAFE, Roosevelt Field",True,1001-receipt.jpg
30,2018-09-25,46.98,USD,"Covina, CA 91723",False,
31,2019-02-02,35.52,USD,"1902 Jericho Turnpike, New Hyde Park NY 11040",True,1016-receipt.jpg
32,2018-11-10,53.23,USD,"Dominican Restaurant, 1019 Front St.",True,1161-receipt.jpg
33,2013-11-06,56.38,USD,"124 East Park Ave, Long Beach, NY 11561",True,1104-receipt.jpg
34,2019-02-22,173.07,USD,"69838 HIGHWAY 111 RANCHO MIRAGE, CA 92270-2837",True,1120-receipt.jpg
35,2017-02-18,75.5,USD,"190 Jericho Tpke, Floral Park, NY 11001",True,1071-receipt.jpg
36,2016-10-06,333.72,USD,"Juniper & Ivy, 2228 Kettner Blvd, San Diego, CA 92101",True,1165-receipt.jpg
37,2018-11-05,143.71,USD,"Katana Sushi, 2818 Hewitt Ave, Everett, WA 98201",True,1009-receipt.jpg
38,2012-01-13,83.44,USD,Blue Bear Tavern,False,
39,2017-06-13,75.15,USD,Lan Sheng,False,
40,2018-11-01,91.45,USD,Daily Grill,False,
41,2019-08-08,6.56,USD,SURATI FARSAN MART,False,
42,2018-02-13,17.18,USD,"HIRO JAPANESE RESTAURANT, 3007 NE 163RD STREET, North Miami Beach, FL 33160",True,1129-receipt.jpg
43,2017-07-10,33.34,USD,Angelo's Pizza Restaurant,False,
