,filename,date_of_purchase,name_of_store,address,total_price,currency
0,research/ocr/receipts\1000-receipt.jpg,2016-05-26,GREEN FIELD,"5305 E PACIFIC COAST HWY Long Beach, CA 90804",56.58,USD
1,research/ocr/receipts\1001-receipt.jpg,2015-04-25,Grand Lux Cafe,Roosevelt Field,69.25,USD
2,research/ocr/receipts\1002-receipt.jpg,2016-09-01,Taco Bell,"7230 Pendleton Pike, Indianapolis, IN 46226",7.61,USD
3,research/ocr/receipts\1003-receipt.jpg,2017-04-20,El Gran Mar de Plata,"10325 Hammocks Blvd, Miami, FL 33176",5.35,USD
4,research/ocr/receipts\1004-receipt.jpg,2019-05-18,GOLDEN BOWL TERIYAKI,"8610 Garfield Ave. South Gate, CA 90280",15.03,USD
5,research/ocr/receipts\1005-receipt.jpg,2017-08-15,SASKA'S,"3768 Mission Blvd, San Diego, CA 92109",179.94,USD
6,research/ocr/receipts\1006-receipt.jpg,2023-06-06,Akira,"885 6th Ave, Glenwood, NY 12437",57.48,USD
7,research/ocr/receipts\1007-receipt.jpg,2018-11-05,Katana Sushi,"2818 Hewitt Ave, Everett, WA 98201",143.71,USD
8,research/ocr/receipts\1008-receipt.jpg,,Dona Mercedes Restaurant,"1030 1/2 San Fernando Rd, San Fernando CA 91341",24.47,USD
9,research/ocr/receipts\1009-receipt.jpg,2019-09-08,Bella Pasta,"223 Newport Dr, Pottstown, PA 19464",30.16,USD
10,research/ocr/receipts\1010-receipt.jpg,2018-07-21,Friendly Red's of Windham,"22 Haverhill Rd, Windham NH",77.83,USD
11,research/ocr/receipts\1011-receipt.jpg,"Jun 26, 15:04:55 PM",Quick 73,"Smoke City Market, 5242 Van Nuys BLVD, Sherman Oaks, CA 91401",64.43,USD
12,research/ocr/receipts\1012-receipt.jpg,2019-04-01,HP Pho Ga,"8930 Mission Dr, #102, Rosemead, CA 91770",33.26,USD
13,research/ocr/receipts\1013-receipt.jpg,,ALBETOS MEXICAN FOOD,"11732 ARTESIA BLVD. ARTESIA, CA.",9.58,USD
14,research/ocr/receipts\1014-receipt.jpg,2019-02-23,Loaded Cafe,"15700 Bellflower Blvd, Bellflower, CA 90706",48.53,USD
15,research/ocr/receipts\1015-receipt.jpg,2017-03-10,Hammocks Trading Company,"7285 Roswell Road, Sandy Springs, Georgia",50.29,USD
16,research/ocr/receipts\1016-receipt.jpg,2019-02-02,Chef Wang,"1902 Jericho Turnpike, New Hyde Park NY 11040",35.52,USD
17,research/ocr/receipts\1017-receipt.jpg,2016-04-24,UMIX,"4327 N. Expressway 77/83, Brownsville, TX 78521",11.04,USD
18,research/ocr/receipts\1018-receipt.jpg,2012-04-27,IN-N-OUT BURGER SANTA CLARA,,2.17,USD
19,research/ocr/receipts\1019-receipt.jpg,2017-05-12,Arotto Pizzeria & Tavern,"2441 Yonge St Toronto, ON M4P 2E3",45.58,USD
20,research/ocr/receipts\1020-receipt.jpg,2019-07-26,Deccan Spice,"771 Newark Avenue, Jersey City Local, NJ 07306",47.02,USD
21,research/ocr/receipts\1021-receipt.jpg,2018-07-13,HAWWI ETHIOPIAN RESTAURANT,"1125 QUEEN ST ALEXANDRIA, VA 22314",69.76,USD
22,research/ocr/receipts\1022-receipt.jpg,10/29/2018,Moonstar Restaurant,"383 Gellert Blvd., Daily City, CA 94015",37.37,USD
23,research/ocr/receipts\1023-receipt.jpg,2017-06-16,Thai Gusto Restaurant,"2011 Hewitt Ave, Everett WA 98201",30.15,USD
24,research/ocr/receipts\1024-receipt.jpg,06-15,New Asia Buffet,"14727 S Rinaldi St, San Fernando, CA 91340",33.92,USD
25,research/ocr/receipts\1025-receipt.jpg,2013-07-08,McDonald's Restaurant,"1617 N Eastern Ave, Los Angeles, CA 90033",7.27,USD
26,research/ocr/receipts\1026-receipt.jpg,2018-07-22,Chris's Hamburgers,"7701 Atlantic Ave, Cudahy, CA 90201",51.82,USD
27,research/ocr/receipts\1027-receipt.jpg,2019-01-11,Longboards,"92-161 Waipahe Place, Kapolei, HI 96707",44.31,USD
28,research/ocr/receipts\1028-receipt.jpg,2015,DOUGLAS BURGERS,"12345 S 13th St
White Center, WA 98146",34.21,USD
29,research/ocr/receipts\1029-receipt.jpg,2017-05-09,RINCON MEXICANO,"99 Broadway, Somerville, MA 02145",30.98,USD
30,research/ocr/receipts\1030-receipt.jpg,2017-12-08,Villa D'Este Restaurant,"1010 First Street, Central Park, NY 11001",94.78,USD
31,research/ocr/receipts\1031-receipt.jpg,01/12/19,Laurel Tavern Hermosa Beach,"1220 Hermosa Beach, Hermosa Beach, CA 90254",44.35,USD
32,research/ocr/receipts\1032-receipt.jpg,2017-03-19,WINGS & THINGS,"1717 DUTCH BRDY ELMONT, NY 11003",9.5,USD
33,research/ocr/receipts\1033-receipt.jpg,2019-05-18,Uncle Julio's,"8030 Renaissance Parkway, Durham, NC 27713",46.73,USD
34,research/ocr/receipts\1034-receipt.jpg,2015-08-02,la Source,Rue de la Paix 8 - 1204 Genève,17.0,EUR
35,research/ocr/receipts\1035-receipt.jpg,2017-08-13,Argonaut Diner 2000,"1084 Yonkers Avenue, Yonkers, NY 10704",26.38,USD
36,research/ocr/receipts\1036-receipt.jpg,2017-11-18,Pappadeaux Seafood Kitchen,"1304 Copeland Rd, Arlington, TX 76011",52.76,USD
37,research/ocr/receipts\1037-receipt.jpg,2013-03-16,Panda Express,"Everett, WA",164.89,USD
38,research/ocr/receipts\1038-receipt.jpg,Sep07'18 09:28PM,Yogurtland,"12502 North Kendall Drive, Miami, FL 33186",17.8,USD
39,research/ocr/receipts\1039-receipt.jpg,2016-12-19,CARL'S JR.,9105 MADISON AVE,13.05,USD
40,research/ocr/receipts\1040-receipt.jpg,19-Apr-2019,SUKHOTHAI SUSHI + ASIAN FUSION,"11735 SW 147 AVE UNIT 36 MIAMI, FL 33196",28.04,USD
41,research/ocr/receipts\1041-receipt.jpg,2015-08-02,la Source,Rue de la Paix 8 - 1204 Genève,17.0,EUR
42,research/ocr/receipts\1042-receipt.jpg,2019-02-11,FAIRVIEW,NJ 07022,55.39,USD
43,research/ocr/receipts\1043-receipt.jpg,2019-06-23,BK SOUL FOOD & CATERING,"11318 Yonkers Ave, Yonkers, NY 10704",26.67,USD
44,research/ocr/receipts\1044-receipt.jpg,05/21/19,CHURCH'S,7635 KIMEIKA CAMEL PARK CA 918 STE G ARP,9.59,USD
45,research/ocr/receipts\1045-receipt.jpg,2018-06-24,YUM'S RESTAURANT,"1000 LAKESIDE DRIVE, SUITE 1500",22.03,USD
46,research/ocr/receipts\1046-receipt.jpg,2019-03-17,Araxi Burger Aventura,"17861 BISCAYNE BLVD Aventura, FL 33160",38.86,USD
47,research/ocr/receipts\1047-receipt.jpg,2017-09-23,730 Tavern Kitchen & Patio,"730 Mass Ave, Cambridge, MA 02139-3308",85.07,USD
48,research/ocr/receipts\1048-receipt.jpg,2018-11-01,Daily Grill,"2501 Colorado Ave, Santa Monica, CA 90404",91.45,USD
49,research/ocr/receipts\1049-receipt.jpg,2019-07-18,KICKIN KAJUN KAPOLEI,"Ka Makana Ali‘i 91-5431 Kapolei Parkway, Suite 426 Kapolei, HI 96707",77.49,USD
50,research/ocr/receipts\1050-receipt.jpg,2017-09-08,HOLLYWOOD CAFE & SPORTS BAR,,26.96,RM
51,research/ocr/receipts\1051-receipt.jpg,2016-04-10,General Poor's Tavern,"45 Main Street, Hackensack, NJ 07601",10.7,USD
52,research/ocr/receipts\1052-receipt.jpg,2016-09-24,Nancy's Restaurant,"255-257 Maple Street, Floral Park, NY 11001",94.18,USD
53,research/ocr/receipts\1053-receipt.jpg,2019-06-14,Primo Family Restaurant,,52.47,USD
