Unnamed: 0,filename,date_of_purchase,name_of_store,address,total_price,currency,vendor
0,1000-receipt.jpg,2016-05-26,GREEN FIELD,"5305 E PACIFIC COAST HWY Long Beach, CA 90804",56.58,USD,"GREEN FIELD 5305 E PACIFIC COAST HWY Long Beach, CA 90804"
1,1001-receipt.jpg,2015-04-25,Grand Lux Cafe,Roosevelt Field,69.25,USD,Grand Lux Cafe Roosevelt Field
2,1002-receipt.jpg,2016-09-01,Taco Bell,"7230 Pendleton Pike, Indianapolis, IN 46226",7.61,USD,"Taco Bell 7230 Pendleton Pike, Indianapolis, IN 46226"
3,1003-receipt.jpg,2017-04-20,El Gran Mar de Plata,"10325 Hammocks Blvd, Miami, FL 33176",5.35,USD,"El Gran Mar de Plata 10325 Hammocks Blvd, Miami, FL 33176"
4,1004-receipt.jpg,2019-05-18,GOLDEN BOWL TERIYAKI,"8610 Garfield Ave. South Gate, CA 90280",15.03,USD,"GOLDEN BOWL TERIYAKI 8610 Garfield Ave. South Gate, CA 90280"
5,1005-receipt.jpg,2017-08-15,SASKA'S,"3768 Mission Blvd, San Diego, CA 92109",179.94,USD,"SASKA'S 3768 Mission Blvd, San Diego, CA 92109"
6,1006-receipt.jpg,2023-06-06,Akira,"885 6th Ave, Glenwood, NY 12437",57.48,USD,"Akira 885 6th Ave, Glenwood, NY 12437"
7,1007-receipt.jpg,2018-11-05,Katana Sushi,"2818 Hewitt Ave, Everett, WA 98201",143.71,USD,"Katana Sushi 2818 Hewitt Ave, Everett, WA 98201"
8,1008-receipt.jpg,,Dona Mercedes Restaurant,"1030 1/2 San Fernando Rd, San Fernando CA 91341",24.47,USD,"Dona Mercedes Restaurant 1030 1/2 San Fernando Rd, San Fernando CA 91341"
9,1009-receipt.jpg,2019-09-08,Bella Pasta,"223 Newport Dr, Pottstown, PA 19464",30.16,USD,"Bella Pasta 223 Newport Dr, Pottstown, PA 19464"
10,1010-receipt.jpg,2018-07-21,Friendly Red's of Windham,"22 Haverhill Rd, Windham NH",77.83,USD,"Friendly Red's of Windham 22 Haverhill Rd, Windham NH"
11,1011-receipt.jpg,2025-06-26,Quick 73,"Smoke City Market, 5242 Van Nuys BLVD, Sherman Oaks, CA 91401",64.43,USD,"Quick 73 Smoke City Market, 5242 Van Nuys BLVD, Sherman Oaks, CA 91401"
12,1012-receipt.jpg,2019-04-01,HP Pho Ga,"8930 Mission Dr, #102, Rosemead, CA 91770",33.26,USD,"HP Pho Ga 8930 Mission Dr, #102, Rosemead, CA 91770"
13,1013-receipt.jpg,,ALBETOS MEXICAN FOOD,"11732 ARTESIA BLVD. ARTESIA, CA.",9.58,USD,"ALBETOS MEXICAN FOOD 11732 ARTESIA BLVD. ARTESIA, CA."
14,1014-receipt.jpg,2019-02-23,Loaded Cafe,"15700 Bellflower Blvd, Bellflower, CA 90706",48.53,USD,"Loaded Cafe 15700 Bellflower Blvd, Bellflower, CA 90706"
15,1015-receipt.jpg,2017-03-10,Hammocks Trading Company,"7285 Roswell Road, Sandy Springs, Georgia",50.29,USD,"Hammocks Trading Company 7285 Roswell Road, Sandy Springs, Georgia"
16,1016-receipt.jpg,2019-02-02,Chef Wang,"1902 Jericho Turnpike, New Hyde Park NY 11040",35.52,USD,"Chef Wang 1902 Jericho Turnpike, New Hyde Park NY 11040"
17,1017-receipt.jpg,2016-04-24,UMIX,"4327 N. Expressway 77/83, Brownsville, TX 78521",11.04,USD,"UMIX 4327 N. Expressway 77/83, Brownsville, TX 78521"
18,1018-receipt.jpg,2012-04-27,IN-N-OUT BURGER SANTA CLARA,,2.17,USD,IN-N-OUT BURGER SANTA CLARA nan
19,1019-receipt.jpg,2017-05-12,Arotto Pizzeria & Tavern,"2441 Yonge St Toronto, ON M4P 2E3",45.58,USD,"Arotto Pizzeria & Tavern 2441 Yonge St Toronto, ON M4P 2E3"
20,1020-receipt.jpg,2019-07-26,Deccan Spice,"771 Newark Avenue, Jersey City Local, NJ 07306",47.02,USD,"Deccan Spice 771 Newark Avenue, Jersey City Local, NJ 07306"
21,1021-receipt.jpg,2018-07-13,HAWWI ETHIOPIAN RESTAURANT,"1125 QUEEN ST ALEXANDRIA, VA 22314",69.76,USD,"HAWWI ETHIOPIAN RESTAURANT 1125 QUEEN ST ALEXANDRIA, VA 22314"
22,1022-receipt.jpg,2018-10-29,Moonstar Restaurant,"383 Gellert Blvd., Daily City, CA 94015",37.37,USD,"Moonstar Restaurant 383 Gellert Blvd., Daily City, CA 94015"
23,1023-receipt.jpg,2017-06-16,Thai Gusto Restaurant,"2011 Hewitt Ave, Everett WA 98201",30.15,USD,"Thai Gusto Restaurant 2011 Hewitt Ave, Everett WA 98201"
24,1024-receipt.jpg,2025-06-15,New Asia Buffet,"14727 S Rinaldi St, San Fernando, CA 91340",33.92,USD,"New Asia Buffet 14727 S Rinaldi St, San Fernando, CA 91340"
25,1025-receipt.jpg,2013-07-08,McDonald's Restaurant,"1617 N Eastern Ave, Los Angeles, CA 90033",7.27,USD,"McDonald's Restaurant 1617 N Eastern Ave, Los Angeles, CA 90033"
26,1026-receipt.jpg,2018-07-22,Chris's Hamburgers,"7701 Atlantic Ave, Cudahy, CA 90201",51.82,USD,"Chris's Hamburgers 7701 Atlantic Ave, Cudahy, CA 90201"
27,1027-receipt.jpg,2019-01-11,Longboards,"92-161 Waipahe Place, Kapolei, HI 96707",44.31,USD,"Longboards 92-161 Waipahe Place, Kapolei, HI 96707"
28,1028-receipt.jpg,2015-04-01,DOUGLAS BURGERS,"12345 S 13th St
White Center, WA 98146",34.21,USD,"DOUGLAS BURGERS 12345 S 13th St
White Center, WA 98146"
29,1029-receipt.jpg,2017-05-09,RINCON MEXICANO,"99 Broadway, Somerville, MA 02145",30.98,USD,"RINCON MEXICANO 99 Broadway, Somerville, MA 02145"
30,1030-receipt.jpg,2017-12-08,Villa D'Este Restaurant,"1010 First Street, Central Park, NY 11001",94.78,USD,"Villa D'Este Restaurant 1010 First Street, Central Park, NY 11001"
31,1031-receipt.jpg,2019-01-12,Laurel Tavern Hermosa Beach,"1220 Hermosa Beach, Hermosa Beach, CA 90254",44.35,USD,"Laurel Tavern Hermosa Beach 1220 Hermosa Beach, Hermosa Beach, CA 90254"
32,1032-receipt.jpg,2017-03-19,WINGS & THINGS,"1717 DUTCH BRDY ELMONT, NY 11003",9.5,USD,"WINGS & THINGS 1717 DUTCH BRDY ELMONT, NY 11003"
33,1033-receipt.jpg,2019-05-18,Uncle Julio's,"8030 Renaissance Parkway, Durham, NC 27713",46.73,USD,"Uncle Julio's 8030 Renaissance Parkway, Durham, NC 27713"
34,1034-receipt.jpg,2015-08-02,la Source,Rue de la Paix 8 - 1204 Genève,17.0,EUR,la Source Rue de la Paix 8 - 1204 Genève
35,1035-receipt.jpg,2017-08-13,Argonaut Diner 2000,"1084 Yonkers Avenue, Yonkers, NY 10704",26.38,USD,"Argonaut Diner 2000 1084 Yonkers Avenue, Yonkers, NY 10704"
36,1036-receipt.jpg,2017-11-18,Pappadeaux Seafood Kitchen,"1304 Copeland Rd, Arlington, TX 76011",52.76,USD,"Pappadeaux Seafood Kitchen 1304 Copeland Rd, Arlington, TX 76011"
37,1037-receipt.jpg,2013-03-16,Panda Express,"Everett, WA",164.89,USD,"Panda Express Everett, WA"
38,1038-receipt.jpg,2018-09-07,Yogurtland,"12502 North Kendall Drive, Miami, FL 33186",17.8,USD,"Yogurtland 12502 North Kendall Drive, Miami, FL 33186"
